BABY PRODUCTS,BISCUITS / CAKE / CHIPS / SNAKS,CHOCOLATE,COOKING OIL,COOL DRINKS / FRUIT JUICES / MILK SHAKES  / SARBATHS,DEO / PERFUME,DISHWASHER / BATHROOM / FLOOR CLEANERS,DRY FRUITS,ELECTRONICS,FACE WASH / CREAM / MIOSTURIZER,HAIR COLOUR,HAIR OIL,HAND WASH / SANITISER,HONEY,ICE CREAM,KELLOGGS / OATS,KIRANA,KITCHEN ITEMS,LADIES ITEMS,MEDICAL,MILK POWDER / INSTANT DRINKS,OTHERS,PAPAD / MAKANI,PESTICIDES / MOSQUITO REPELLENTS,PICKLE,POOJA ITEMS,READY TO EAT,RICE,ROOM FRESHENER,SHAMPOO / BODY WASH,SHAVING,SOAP,SOUPS / SAUCES / POPCORNS / PASTA,SPICES,SPREADS / JAMS,STATIONERY,SWEETS,TALC,TEA / COFFEE,TOOTH PASTE / BRUSH,TOYS,VERMECELLI / NOODLES / MACARONI / PASTA,WASHING / DETERGENTS
1,1,2,2,1,1,2,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,8,1,1,0,1,1,1,5,1,0,1,1
2,1,2,1,3,1,1,1,1,1,1,1,0,1,2,1,1,2,3,1,4,1,1,4,2,1,1,3,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2,4,2,1,1,1,1,1,1,1,1,1,0,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,2,1,1,0,1,1,1,1,1,0,1,3
2,1,2,1,1,1,3,1,2,1,1,1,0,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,22,1,2,1,1,0,1,1,1,1,1,0,1,1
2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,0,1,1,1,1,1,0,1,1
2,1,4,2,1,1,2,1,2,2,1,1,0,1,1,1,3,1,1,1,8,1,1,1,1,1,1,1,1,4,1,2,1,1,0,3,1,1,12,1,0,2,1
2,1,1,2,1,1,1,1,0,1,1,1,0,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,4,1,1,4,1,0,1,1
0,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,1,0,1,5
0,1,2,1,2,1,1,1,0,1,1,1,0,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,1,1,1,1,0,2,1
0,5,4,1,2,1,1,1,0,1,2,1,0,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,1,0,1,1
0,5,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,2,0,1,3
0,3,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,10,2,1,1,1,1,1,0,1,0,1,0,1,1,2,1,0,0,1,1,2,1,1,1,1,1,1,1,13,1,2,1,1,0,3,1,1,1,2,0,2,2
0,2,4,1,1,1,1,1,0,1,0,1,0,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,0,1,1,1,3,1,0,2,2
0,2,1,1,2,1,1,1,0,1,0,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,30,3,2,2,1,0,1,1,1,1,1,0,1,1
0,2,2,1,2,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,4,1,2,1,1,1,3,1,1,10,1,2,3,1,0,1,1,1,31,1,0,2,3
0,1,4,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,1,1,1,1,2,1,1,1,10,2,2,1,0,1,1,1,1,1,0,1,1
0,3,6,2,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,2,2,0,1,1,1,3,1,0,1,1,1,1,1,0,8,1
0,1,1,5,2,1,4,1,0,1,0,1,0,2,1,1,1,0,0,1,1,1,1,2,1,3,1,2,0,11,3,1,1,1,0,1,1,1,12,1,0,1,1
0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,1,1,0,0,1,1,1,1,4,1,1,1,2,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,1,2,1,2,1,4,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,4,1,1,2,1,0,1,2
0,1,2,1,1,1,1,1,0,1,0,1,0,1,5,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,2,1,1,0,1,1,1,1,1,0,1,1
0,2,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,5,3,1,2,1,0,1,1,1,1,1,0,1,1
0,1,1,2,1,1,2,1,0,1,0,1,0,0,2,1,1,0,0,1,1,1,3,1,2,1,1,1,0,3,1,1,1,1,0,1,1,1,2,1,0,1,1
0,2,1,1,1,1,1,1,0,1,0,1,0,0,3,1,2,0,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,1,1,4,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,7,3,1,2,1,0,1,2,1,1,2,0,1,1
0,1,2,3,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,5,2,0,1,1
0,2,1,2,1,1,1,1,0,1,0,1,0,0,1,6,1,0,0,1,3,1,1,1,1,1,1,1,0,16,3,1,3,1,0,1,1,0,1,1,0,1,1
0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,2,2,0,0,1,1,1,1,1,1,1,1,4,0,16,1,1,3,1,0,1,2,0,1,1,0,1,1
0,1,1,3,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,2,1,1,1,1,1,1,1,2,0,26,1,1,1,1,0,1,1,0,3,1,0,1,1
0,2,1,3,1,1,1,1,0,1,0,1,0,0,2,1,1,0,0,1,2,1,1,1,1,1,1,1,0,1,1,4,2,1,0,1,1,0,5,2,0,1,1
0,1,1,4,1,1,1,1,0,1,0,1,0,0,4,2,1,0,0,1,1,1,1,1,3,1,1,1,0,5,1,1,2,1,0,1,1,0,1,1,0,1,2
0,2,1,2,1,1,1,1,0,1,0,1,0,0,1,2,1,0,0,1,2,1,1,1,1,2,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1
0,1,12,1,1,1,1,1,0,1,0,1,0,0,2,2,1,0,0,1,1,1,1,1,1,1,2,1,0,1,0,1,3,1,0,1,1,0,12,2,0,1,1
0,1,2,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,2,1,1,1,2,1,1,0,0,5,0,1,1,1,0,1,1,0,1,1,0,1,1
0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,2,1,1,0,1,1,0,1,1,0,1,2
0,1,2,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,0,1,2,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1
0,1,5,1,1,1,1,1,0,1,0,1,0,0,3,2,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,2,1,1,0,1,0,0,1,1,0,2,1
0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,2
0,1,2,1,2,1,1,2,0,3,0,1,0,0,1,2,1,0,0,1,5,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,2,1
0,2,2,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,5,1,0,1,1,1,1,0,0,24,0,1,2,1,0,1,0,0,1,1,0,2,1
0,2,1,1,1,1,3,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,2,2,0,0,10,0,1,6,1,0,1,0,0,1,1,0,1,5
0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,2,1,2,3,0,0,10,0,1,1,1,0,1,0,0,24,1,0,1,2
0,1,5,3,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,2,1,0,0,10,0,1,2,1,0,1,0,0,1,1,0,1,2
0,1,1,2,1,1,4,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,2,1,1,0,1,0,0,2,1,0,2,2
0,1,2,1,1,0,1,1,0,1,0,2,0,0,2,0,1,0,0,1,1,1,0,1,1,0,1,0,0,2,0,3,1,1,0,1,0,0,1,2,0,1,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,2,0,0,1,0,1,1,1,0,1,0,0,10,1,0,1,2
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,2,0,0,6,1,1,0,1,1,0,1,0,0,2,0,1,1,1,0,1,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,3,0,2,1,1,0,1,0,0,1,2,0,2,1
0,1,2,2,1,0,1,1,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,1,1,0,1,0,0,50,0,1,2,1,0,1,0,0,1,1,0,2,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,2,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1
0,1,1,1,2,0,1,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,2,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,10,1,0,2,1
0,2,2,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,6,1,0,1,0,0,1,0,1,2,2,0,2,0,0,1,1,0,1,1
0,2,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,4,0,1,1,1,0,0,0,0,1,1,0,1,3
0,1,1,1,1,0,6,3,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,12,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,5,0,1,1,1,0,0,0,0,3,1,0,1,1
0,4,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,2,0,1,1,1,0,0,0,0,1,1,0,1,2
0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,2,1,0,2,1
0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,12,0,1,1,2,0,0,0,0,12,1,0,1,4
0,1,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,2
0,1,1,1,1,0,2,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,1,2,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,1,1
0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1,1,1,0,0,0,0,4,1,0,1,2
0,1,1,2,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,2,1,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,2
0,1,1,1,3,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1
0,2,2,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,12,1,0,1,6
0,2,2,5,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,1,1,0,0,0,0,1,1,0,2,3
0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,0,0,0,2,1,0,1,1
0,1,1,1,1,0,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,6,0,0,0,0,10,1,0,1,4
0,1,1,1,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,1,3
0,1,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,120,1,0,4,1
0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,6,1,0,1,1
0,1,4,1,1,0,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,3,1,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,1,0,2,1
0,1,1,1,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,1,1,1,0,6,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,4,1,0,0,0,0,10,1,0,2,1
0,1,1,1,1,0,5,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,12,1,0,2,1
0,2,1,1,1,0,1,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,2,1
0,1,2,1,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,5,1,0,1,2
0,1,1,1,1,0,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,1,0,1,5
0,1,1,1,1,0,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,1,1,0,1,3
0,1,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,1,0,1,10
0,2,1,2,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20,0,1,1,2,0,0,0,0,10,1,0,1,4
0,1,2,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,1,0,2,2
0,1,1,1,1,0,2,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,0,0,1,1,0,3,5
0,1,1,1,2,0,1,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,1,0,0,0,0,1,1,0,2,1
0,1,1,1,1,0,2,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,29,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,0,0,0,12,1,0,2,1
0,3,2,1,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,2,2
0,3,1,1,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,1,4
0,4,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,2,1,0,0,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,1,1,0,1,1
0,1,1,1,2,0,1,1,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,1,1,2,0,1,1,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,1,0,1,1
0,1,3,1,2,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,1,1,0,1,2
0,1,1,1,1,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,1,0,0,0,0,1,1,0,1,1
0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,4,2,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,3,2,6,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,10,1,0,1,2
0,1,2,2,1,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,3
0,1,1,0,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,1,0,0,5
0,1,2,0,1,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,1
0,3,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
0,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,8,1,0,0,5
0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,9,1,0,0,2
0,1,3,0,1,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,1
0,1,1,0,2,0,2,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1
0,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1
0,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
0,1,2,0,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5
0,1,1,0,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,5
0,1,20,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0,0,1
0,2,1,0,3,0,1,1,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
0,1,1,0,2,0,1,1,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2
0,1,1,0,1,0,2,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,1
0,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,2
0,1,1,0,1,0,1,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,4
0,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2
0,1,4,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,1,0,0,1
0,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
0,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0,0,1
0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,6
0,1,1,0,1,0,4,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,0,2
0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,1,0,0,1
0,1,5,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,20,1,0,0,1
0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,0,2
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,0,2
0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,0,2
